"geneSym","GSM872267","GSM872266","GSM872299","GSM872251","GSM872256","GSM872274","GSM872291","GSM872284","GSM872275","GSM872287","GSM872270","GSM872265","GSM872245","GSM872272","GSM872289","GSM872277","GSM872262","GSM872257","GSM872255","GSM872300","GSM872273","GSM872252","GSM872259","GSM872258","GSM872276","GSM872271","GSM872269","GSM872294","GSM872288","GSM872297","GSM872261","GSM872244","GSM872247","GSM872250","GSM872268","GSM872282","GSM872290","GSM872283","GSM872285","GSM872260","GSM872298","GSM872296","GSM872293","GSM872248","GSM872263","GSM872281","GSM872278","GSM872295","GSM872249","GSM872253","GSM872264","GSM872246","GSM872286","GSM872279"
"PER1",5124.43510908657,7039.47463203594,4873.23281281881,28251.2775998697,15128.3909653585,3717.88753484188,6752.48253398313,4974.14972566516,13170.3632625083,9026.45532403924,20515.4536897309,8722.06939734677,11985.808869779,14062.8311732586,10950.2965264875,8117.56233977144,12446.5375279053,21021.7962257088,16593.8707890797,5536.53251122893,2892.99043077677,20688.4629251465,9487.36671605836,17991.9557879067,6133.40785870757,8916.06278346132,12655.9028642545,6848.74795879075,7333.78633212394,6155.98942415523,26111.2683407183,41378.0924146719,33089.9442665238,21949.6294780196,10326.4761042058,10060.7257849702,4850.43695722552,5137.90187865598,7106.00561073039,14839.8468334687,7278.68244082456,6219.17667761252,4134.53107055287,26083.4257481288,19930.2223405239,6401.80723474399,8584.02145066764,11429.6610672798,35100.8887109682,29249.0461183787,5952.80074061597,27865.3516739493,5805.4637080228,4987.25668816686
"PER3",664.954088983323,939.024314963973,488.046806389642,931.754507401652,1118.59225699777,715.488083038129,397.207057093395,422.576287653192,851.193811372122,511.706722579799,885.037066418027,1060.78757613444,1196.61840193758,605.009103643282,497.559090684959,603.88614507586,953.603884029924,1483.41572070975,1034.6822564646,489.398826215235,569.234618867821,1042.28348289349,902.749801680409,1151.08077466202,698.584839173576,874.995618876301,792.832260120086,511.821482563553,567.77568646421,469.526202745947,1142.63368572879,1006.01827925952,1214.56130449936,1150.49886594768,806.532605027676,502.60162965804,477.18488469192,532.181430322954,543.892225666319,804.182705276125,439.143472151934,502.127921118938,449.862583610505,1161.56846248969,767.912247771239,566.757598765034,803.579273479218,462.10475067186,1265.75853816984,939.325083929069,624.991818074674,1211.78969136745,330.954781710121,788.933655573452
"FAM117A",3255.87993177168,3950.81983941091,3928.26141833278,3538.57877169203,2418.62248025916,3583.68462047881,2423.69072506679,2032.06099240154,4693.74722845925,2538.53086788409,4422.96956198626,2034.86341978473,3098.66279535656,3845.43992335473,4045.96541867416,1905.11614048879,2570.11730575359,4985.78456622816,3633.00325892536,2025.40953424359,1064.6913083728,4214.85556145987,2025.13515463324,3883.05564538839,2164.60539867387,3642.95249478494,4871.43674110904,2348.2740231836,3712.72686803301,1873.95938037441,4500.73516082841,5656.15042239127,4427.94628612988,7636.48339420995,3240.32489744793,5039.63050887362,1918.88540261632,1993.87735134967,2190.66568439034,4580.63151926265,2405.09200496529,2276.73148957276,2411.21620288749,4189.15212686438,3978.37063669536,2446.78404537304,4741.95266599667,4826.01760145917,5765.7252823049,3373.06476754845,2315.29387240413,4547.45401475334,2541.58223522938,3644.11942747438
"NR1D2",543.920003444097,746.207188375537,578.272074860675,857.899964841106,941.837077155621,654.297616666129,387.705945884282,437.705690659675,684.981619562919,533.530497221172,793.704410839051,558.058233057011,1186.51196444686,481.329881497801,646.0575340056,400.60827839513,670.143794933652,1525.56616932672,812.38738210297,464.498669650537,399.628137124264,953.603884029924,577.054470631522,814.255142628328,445.633028710457,641.893026002581,831.711184326189,399.916930751846,476.580719239051,447.690815407707,952.966330883359,1161.50831893379,1075.29130368968,1162.8753400843,651.603250098198,729.974083719337,393.493430362168,514.733041713249,685.100887274368,992.690774848149,531.511787908173,518.165167291573,352.992693947451,1126.05031960272,815.995723999588,455.751775246237,699.034814847333,638.952337899539,1030.4133351512,797.283296937064,605.351269385321,1168.60377497561,386.316394130347,521.856875636808
"CIART",944.945881866645,1587.76222516036,817.820272503673,4818.59135569345,2454.13855234962,824.650315342698,1071.48326337461,909.274866394145,1186.01097247266,859.360359374354,2225.99856935057,1076.67606844473,2046.59960621829,1567.3601111354,1331.28947126954,1187.55454522665,1293.77151022821,2936.90832743732,2376.07481731137,808.254760298712,825.006010750306,2282.63099130089,1714.66351701545,2957.20598605676,1209.14427807,1250.88937788336,1061.92759251703,1107.23009234958,1411.43217221224,1276.89740495751,2087.52882704697,3023.9914192645,3234.91914211513,3708.14101570895,1099.68998160011,1004.11003299298,1006.08309407434,976.813924682408,909.2054219497,2527.84025887498,1172.67406951708,1053.38592007979,1224.66162484184,2778.24674736465,1845.58287303728,857.720001029051,1289.7616736095,994.529012653176,4462.7783697511,2426.36857629251,1180.9708731598,3742.31898412971,1018.02373202989,1121.41156804493
"NR1D1",2233.35258597799,4061.36225768502,5544.93699046086,17494.4488259916,8773.01711367166,3017.47581960551,9244.07610326151,3551.66962044206,5348.58648677423,6112.47063782343,9366.64011252775,3711.28076754257,6987.46505637205,5192.28555491047,4638.94286976422,2399.67247553155,6990.2898104738,8233.20402472896,11384.6713792133,4364.71065510233,2074.5169454795,13964.600546756,3809.04985540148,8851.28982301312,2637.33947548437,4484.79588110428,7714.20420177772,3626.70003624237,2972.33731750359,4050.77762625252,14580.1985264638,23409.2498294808,30956.2961183759,16542.722937052,5789.57001854639,10463.080758327,2248.18963221341,3346.27084870746,6926.85345696377,11615.0412060311,5620.29809436279,4559.44740359274,2994.15158443641,7760.49821103946,10584.1440296598,3737.97904668219,4402.68641793067,4983.44156964131,31454.805377635,10644.7074670723,2075.19390802064,22889.203537395,2193.14546444435,2883.55487846967
"TEF",7294.89275169272,783.299039290071,536.071526523756,1064.6913083728,668.707234624682,854.624395933038,444.16178200225,433.145734328858,952.834014204512,703.335305061251,1179.6178341152,1156.75281461202,580.432983315329,512.817829090964,659.177847662646,402.371052270497,765.519476924857,1146.57654302984,959.152273098834,532.518690607986,342.126240985556,1177.08092478904,461.694524240478,1260.13711922429,471.633379695773,671.477318589773,3508.94779662569,1336.06632469304,560.519696451561,329.55433665954,989.749111587748,1567.3601111354,1414.1746189498,1258.57377826827,872.843214753831,825.582567053625,406.754383688721,507.646106039784,645.292177142316,919.140753763817,453.023124869389,5202.87542825773,325.791983720326,1578.51234397529,1255.79898472344,521.709036893969,905.189196305579,1279.48102836274,2078.92819733601,1026.1170631546,483.029006695287,1369.31107758764,426.033781369623,582.684402780668
"PAQR3",1927.72858999936,1803.90298886956,2183.25453176889,1301.99621471568,1698.27958404182,1779.80812001635,1915.05669935487,1462.46971061646,1781.26247742255,1864.17490576684,1508.80996942903,1738.268819195,2061.69344274792,1362.90517219767,1756.70390026771,2359.34837029504,1920.61838644831,1525.56616932672,1887.87453313122,2040.60444467236,2137.24564494847,1650.86288653089,1582.2644920764,2052.82151630152,2534.32363079456,1621.89185963785,1485.95942598689,1799.10524275044,2004.75654080168,1805.79660993975,2031.24138509929,1551.76416338535,1750.86506767955,1534.0816570206,1906.34746368614,2018.21639208936,2020.64255138289,2466.5056692048,1920.80915178074,1642.11632660476,1839.624142022,1237.67895368309,2096.73473206631,1385.77508715974,1883.70395222929,1838.86043779604,2102.56410432956,1878.84075168949,1611.58973655208,1572.02334469388,2690.581451848,1476.64830917011,1667.55251381199,2591.70447419226
"NAMPT",14191.7214631726,14371.6552552788,7539.45232673102,6819.89756166456,7062.23354000544,7389.45934522969,5726.4590462515,10176.9163292565,7937.05776131309,7944.1176477743,8823.58515827509,9645.39769365561,10842.6745743954,9498.98802043766,5467.46785245951,13667.3182483802,7009.38462472714,13786.3496459442,7891.65414292836,8216.11761918651,16899.9239006803,6551.50985122844,12217.8201495062,6093.26696587884,6353.59994156521,8157.3682872529,3772.34859603888,6099.1292237604,6122.17604538858,13274.9444960903,7680.08913439967,10029.916642712,8083.20289153169,6965.96569547007,6115.71406385969,13370.2780714668,6925.32132476178,14665.1585720141,6794.06223654442,6114.39376069128,7190.74671811695,6883.33987089657,11342.4610970672,15040.1999615,6528.58191068527,10746.7030373216,6912.78012471762,10981.6192234737,6572.63970421372,5413.64937392041,14314.1765473222,5687.02242544143,7601.68981514925,10702.3332632122
"DBP",378.668243943393,651.878914917137,400.22627439665,1333.39001163582,615.401912991146,338.737007603649,379.593400816897,331.324626034908,745.208631603031,670.454110293583,1297.07072441598,414.829060846369,502.60162965804,474.224049619999,765.106586701327,378.08533928972,576.134520488793,685.421924091189,983.786685532054,373.419357892126,304.666524585385,955.610765894122,390.38566292748,1189.79315637071,499.75745235475,645.954425247425,1039.06317450922,358.483561608074,524.302765661734,341.905107057674,1033.38019592273,1262.30498042711,1054.33082658823,1281.00619089997,768.036428490732,657.893537024333,336.677339894058,286.106124702503,578.908773599779,784.909141638049,376.62452875723,409.461510664455,302.03430112437,766.28392267743,890.869242982037,425.987485073327,655.098119540217,860.709567565126,2858.64978487906,1010.55896450351,388.762077978538,1425.41301832225,345.06164225388,435.673480139604
"ARNTL",4758.22934092087,5165.5975709544,5093.23614326312,2687.21576439436,3215.73502830169,3965.76019771862,6411.9557687421,6351.23114032434,3859.23383826433,4942.75599279527,3633.00325892536,4653.65761905964,4415.70356270398,6609.0708299755,5041.47876729583,7156.55653963044,4401.57375350566,2736.58348882118,3041.62914349507,5696.68126658492,4215.57416931502,2592.30591644044,5629.20488911263,2649.0779981517,5084.90840023076,5272.32847936552,2722.56715731067,4347.21090219689,5965.63985817321,7318.86268225673,3650.26162960179,1907.47356121473,3120.63395809124,2958.40917900549,3198.95403699887,3714.35912058222,5503.66814704771,6532.13150591029,5496.56910690348,2931.03755263023,6006.33665237658,5357.61850513769,5929.47400439485,2530.0279497986,2268.74689815786,6129.57827406119,4454.89918659168,4033.79217272785,1366.10380414186,3044.99411836758,5829.59923803571,1877.79069022618,5068.43530181967,4267.89078337314
"PER2",4582.3954761855,5228.05479245274,4732.90442805519,5453.07350026287,4536.93309447592,5342.71286258937,4864.06578386042,3816.04623008414,7223.326414218,4553.76785995628,5663.25015713736,5963.22050567818,7257.11011019205,6375.85678531213,5278.90284737705,4720.16519072201,5379.95066050258,10981.6192234737,6758.95966027576,3154.86015044692,3402.4224024115,6496.55672237035,5553.6742641112,6456.58210261257,4416.4136440222,5550.51620295006,4458.9759940646,3800.45062388106,4939.8827159145,3101.07306295977,5439.59055207391,8436.59671990629,7311.67365724937,6243.62178590031,7519.49777753378,7414.46336676455,4077.54828942927,3139.30700356321,4896.07489341078,6388.33136588087,3885.02565154031,4237.72068000884,3934.4825962215,5433.14477668299,8106.67074669608,3969.01475333314,7182.01926576226,4418.73906044906,6398.66514439833,6823.00144051987,4114.07226061879,8745.48309078793,2963.32574103284,5319.94893509875
"GPKOW",4290.43112668906,3975.12121191167,3277.93890675646,3453.49384319212,2949.53566907753,5047.83953399382,3682.44502654946,3432.50384382092,4291.9300428811,3865.55434505838,3943.27437368223,3483.90837024926,2393.11769597915,4124.40466774526,3436.51179201778,3680.82791785101,4404.34110059705,3341.06776021665,4020.56925627436,3340.19724318426,4063.08875794969,3826.1259337422,3187.47078223492,4201.73065369412,4461.01449316813,4489.87419044449,3425.28808372155,4987.907136229,3171.51782520029,3360.09958012453,2926.2526236547,3478.64967821158,4250.37162812609,3174.06106001497,3301.61776002787,4536.93309447592,4047.72419919812,3752.47326452087,3021.95666376985,3688.2797478397,4090.60885135518,4648.32517018855,3376.39138725635,3279.94386564774,3709.38324754383,4645.07974127694,4300.85652189128,4533.97647248948,3049.74586450389,3033.29594109412,4375.73857319082,3670.17121334868,3664.1770123614,3780.36068300679
"BMS1",2368.6624224683,1871.8595763119,1543.95573079258,1765.37395350688,1930.25987076305,2063.92627060444,2325.16529409341,2342.9806532832,1419.78769270415,1760.18592764176,1855.28253612389,2279.69831829152,1500.51990179694,2029.90896253362,1523.28340186148,1695.29105038924,2236.25222123722,1862.4289247013,1590.48676803856,1771.87675745767,2157.79563127802,1760.18592764176,1914.03058479712,1707.41199985294,2070.70145250807,1943.38999570686,1453.25362104612,2264.03308518506,1849.11026957759,1713.74225593437,1118.75797683446,1690.55287107809,1846.18531110209,1610.04373354192,1885.89412513928,2200.80212972957,2089.48899618124,2647.67790509799,1805.79660993975,1516.19649488475,2030.14149372154,1649.67560586518,1518.24677592756,1921.34499735893,1907.22887796988,1858.42876670837,2056.92868431326,1351.22126797681,1376.22691838193,1341.86048634939,2623.4743051001,1879.46307267978,1921.34499735893,1925.66008728313
"ANKFY1",1060.78757613444,1057.88722869142,865.978817535356,1116.5151244923,954.144751468548,860.943684606198,973.437580090008,1174.21787379159,1054.03798801496,1116.85806656203,1148.08908092455,1163.08161289337,839.922623106058,1164.43799495305,979.699005154748,956.71433812915,953.603884029924,814.845142948925,862.344185283292,1059.03662414851,944.869845558521,984.900142732487,731.238192710146,916.867733073918,873.420840174544,987.11504681338,1036.05353651206,717.241061249212,1028.99503170235,868.06479026803,1027.64021779858,1112.96328491344,1280.90752411543,983.938161114319,1142.4664565193,1177.17732470553,938.399050387455,1107.60112155114,1132.7604804045,811.09734712936,1094.51842272976,905.979953863563,792.693371231197,1126.05031960272,1130.93611796054,1089.84971264022,1215.80840694308,945.851382191364,1269.70957893519,1140.07148100618,1138.83018935016,1106.98980914981,1060.45485872383,927.852590286895
